id,venue_name,venue_type,main_bus,venue_add_one,venue_add_two,venue_pcode,venue_web,venue_phone,venue_email,venue_fb,venue_tw,org_own,mger,mger_email,mger_phone,online_contact_form,follow_up,venue_city,venue_country,notes,std_sign_off,res_sign_off,s_kick_id,latitude,longitude,constituency,wday_opening,wday_closing,wkd_opening,wkd_closing,show_opening,show_closing,variations,promoters,venue_capacity,outdoor_space,type_outdoor_space,Instagram ,PRS Type,PRS Venue cat,Omic,gigmainbiz,MD_pad,NPO,FAC,AIE,MVT,Year Venue Opened ,Year Venue Closed ,LAP_areas 
11,Berry and Rye,"bar, pub with music",no,48 Berry Street,Liverpool,L14JQ,http://berryandrye.uk/,07557 506660,berryandrye@gmail.com,https://www.facebook.com/BerryandRyeLiverpool/,https://twitter.com/berry_and_rye,Colparr Limited ,,emailed,,https://berryandrye.uk/contact-us/,,Liverpool,England,,C,,,53.400458,-2.97633,,17:00:00,01:00:00,17:00:00,02:00:00,,,MON/19:00/01:00; TUE/19:00/01:00; SAT/17:00/00:00,,45,N,,https://www.instagram.com/berryandrye/,Public House,Gigs and Clubs,,,,,,,,2012,,HD1/CC15/EC6
12,BIERKELLER,"bar, pub with music",no,6-8 Thomas Steers Way,Liverpool,L18LW,https://thebierkeller.com/liverpool/,0151 708 7354,liverpool@thebierkeller.com,https://facebook.com/BierkellerLiverpool/,https://twitter.com/bierkellerlvpl,Burning Night Group,,emailed,,NA,,Liverpool,England,,,,121578,53.4031,-2.98845,,12:00:00,01:00:00,11:00:00,02:00:00,,,FRI/12:00/02:00; SUN/11:00/01:00,,1500,Y,TA,https://www.instagram.com/bierkellerliverpool/,Public House,Gigs and Clubs,,,,,,,,2015,,CC10/CC11/EC6
13,Birkers,"bar, pub with music",no,"4a Liverpool Road, Birkdale",Southport,PR84AR,http://www.birkersbargrill-birkdale.foodanddrinksites.co.uk/,077595 831194,NA,https://www.facebook.com/BirkersBarandGrill/,NA,,,,,NA,,Southport,England,,,,,53.633884,-3.014112,,12:00:00,23:00:00,12:00:00,00:00:00,,,,,,N,,,Public House,Gigs and Clubs,,,,,,,,NA,,
14,Black Cat - Bar & Bottle Shop,"bar, pub with music",no,174 Smithdown Road,Liverpool,L153JR,https://crafttaproom.myshopify.com/,NA,general@blackcatbar.co.uk/,https://www.facebook.com/blackcatliverpool/,https://twitter.com/blackcatliv,Andy Scott/ Christopher Welsh,,emailed,,https://crafttaproom.myshopify.com/pages/track-trace-info,,Liverpool,England,"Established as Craft Taproom, name change to Black Cat in 2021",C,,,53.39146,-2.93213,,16:00:00,00:00:00,12:00:00,00:30:00,,,FRI/16:00/00:00; SUN/12:00/00:30,,120,N,,https://www.instagram.com/blackcatliverpool/,Public House,Gigs and clubs,,,1,,,,,2017,,
15,Blackstone Street Warehouse,largeclub,yes,10 Blackstone Street,Liverpool,L59TY,NA,NA,,https://www.facebook.com/BlackstoneStreetWarehouse,NA,,,,,NA,,Liverpool,England,,C,,,53.42535,-2.99858,,,,,,14:00:00,23:00:00,,Circus,10000,N,,https://www.instagram.com/blackstonestwarehouse/,,,,1,,,,,,2021,,HD2/CC10/CC11/CC13/EC6
16,Blue Angel Club (The Raz),largeclub,yes,106-108 Seel Street,Liverpool,L14BL,NA,0151 709 1535,blueangel.liverpool@gmail.com,https://www.facebook.com/The-Raz-178103512204683/,https://twitter.com/TheRaz8,Valerie Davies/ Michael Kearon,Will not share details ,,,NA,,Liverpool ,England,,C,,,53.40101,-2.9763,,22:00:00,06:00:00,22:00:00,06:00:00,,,Closed TUE/WED/THU/SUN,,600,Y,TA,https://www.instagram.com/therazliverpool/,Nightclub,Gigs and Clubs,,1,,,,,,1960,,HD1/CC15/EC6
17,Brick Street,smallclub,yes,44 Brick Street,Liverpool,L10BN,NA,NA,info@the-brick.co.uk,https://www.facebook.com/BalticBrickStreet/,NA,,,Emailed,,NA,,Liverpool,England,,,,3904034,53.39596,-2.98034,,20:00:00,02:00:00,20:00:00,02:00:00,,,Closed MON/TUE/WED;  SUN/18:00/02:00,,350,,,,Public House,Gigs and clubs,,1,,,,,,2018,,HD2/CC14/CC15/EC6
18,Brooklyn Mixer,largeclub,yes,78 Seel Street,Liverpool,L14BH,https://brooklynmixer.co.uk/,0151 351 6721,info@brooklynmixer.co.uk,https://www.facebook.com/brooklyn.mixer.7/,https://twitter.com/BrklynMxr,Pub Invest Group,Joseph Bassnett,joseph.bassnett@jsmbars.co.uk,NA,https://brooklynmixer.co.uk/venue-hire/,,Liverpool,England,,C,,2103644,53.401681,-2.97863,,18:00:00,04:00:00,18:00:00,04:00:00,,,Closed TUE/WED/THU,,300,Y ,TA,https://www.instagram.com/brooklynmixer/,Public House,Gigs and Clubs,,1,,,,,,2016,,HD1/CC15/EC6
19,Caledonia Pub,"bar, pub with music",no,22 Caledonia Street,Liverpool,L77DX,http://www.thecaledonialiverpool.com/,0151 306 2496,thecaledonia@hotmail.co.uk,https://www.facebook.com/caledonialiverpool/,https://www.twitter.com/thecaledonia,Laura King,Laura King,Will not share ,Will not share,NA, ,Liverpool,England,,,,496711,53.4005,-2.96788,,12:00:00,00:00:00,12:00:00,01:00:00,,,,,150,N,,https://www.instagram.com/thecaledonia/,Public House,Gigs and clubs,,,,,,,,1837,,HD1/CC16/EC6
20,Camp & Furnace (Furnace),Largevenue,no,67 Greenland St,Liverpool,L10BY,https://www.campandfurnace.com/,0151 708 2890,enquiries@campandfurnace.com,https://www.facebook.com/CampandFurnace.Liverpool,https://twitter.com/CampandFurnace,Paul Speed ,Greta Speed,greta@campandfurnace.com,,https://campandfurnace.com/contact/,,Liverpool ,England,"Capacity is split into different stages: Camp (1000), Furnace (1200), Gold Room (250), Lobby (200)",C,,2625433,53.39460802,-2.980511852,,,,,,,,Opening times depend on events,,1200,Y,TA,https://www.instagram.com/campandfurnace/,Public House,Gigs and Clubs,,,,,1,,,2012,,HD2/CC14/CC15/EC6
21,Carlisi,"bar, pub with music",no,92-94 Dale Street,Liverpool,L25TF,http://carlisi.co.uk/,0151 236 9030,info@carlisi.co.uk,https://www.facebook.com/CarlisiLiverpool/,https://twitter.com/carlisibar,Alessio Carlisi,Louise Kissack,louise@spaghettigroup.com,7921756539,https://www.carlisi.co.uk/pages/contact,,Liverpool,England,,C,,,53.409026,-2.98564,,09:00:00,00:00:00,09:00:00,00:00:00,,,,,,N,,https://www.instagram.com/carlisiliverpool/,Public House,Gigs and Clubs,,,,,,,,2018,,CC1/CC18/HD1/HD2/EC5
22,Cavern Club,medvenue,yes,10 Mathew Street,Liverpool,L26RE,https://www.cavernclub.com/,0151 236 9091,cavmmt@gmail.com,https://www.facebook.com/cavernclubliverpool/,https://twitter.com/cavernliverpool,Cavern City Tours,Dave Jones,Emailed,,https://www.cavernclub.com/contactus/, ,Liverpool,England,"1957, reopened 1984 &",C,,2575368,53.40636,-2.98815,,11:00:00,00:00:00,11:00:00,02:00:00,,,THU/11:00/01:00; SAT/11:00/01:00,,250/170,N,,https://www.instagram.com/cavernliverpool/,Public House,Gigs and clubs,1,1,,,1,,,1991,,HD1/HD2/CC7/CC8/CC9/SP1/SP3
23,Clock Face Labour Social Club,social,no,469a Clock Face Road,St Helens,WA94TZ,NA,01744 811181,NA,https://www.facebook.com/Clock-Face-Labour-Club-196303283795164/,https://twitter.com/clocklabourclub,,,,,NA,,St Helens,England,,,,,53.416719,-2.710143,,,,,,,,,,,N,,https://www.instagram.com/clockfacelabourclub/,Club Social,Gigs and Clubs,,,,,,,,NA,,
24,Cobden Vaults,"bar, pub with music",no,89 Quarry Street,Liverpool,L256HA,NA,07708 231796,NA,https://www.facebook.com/cobden.vaults/,NA,,,,,NA,,Liverpool,England,,,,,53.376405,-2.875344,,13:00:00,22:45:00,12:00:00,22:45:00,,,TUE/13:00/23:00; SUN/12:00/22:30,,,Y,TA,,Public House,Gigs and Clubs,,,,,,,,NA,,
25,Content,Largevenue,no,Stanhope Street,Liverpool,L85XJ,https://contentpark.co.uk/,0344 567 1170,info@contentpark.co.uk,https://www.facebook.com/contentparkliverpool/,NA,,Zak Padmore,zak@contentliverpool.co.uk,,https://contentpark.co.uk/,,Liverpool,England,Purpose built venue for Bongos Bingo but live music programming from May 2023,,,,53.3935,-2.97753,,,,,,,,,,1700/900,Y,SA,https://www.instagram.com/contentliverpool/,,,,,,,,,,2019,,CC14/CC15/EC6
26,Dealers Arms,"bar, pub with music",no,79 St Mary's Road,Garston,L192NL,https://www.dealersarmsgarston.co.uk/,?0151 427 9690,dealersarmsgarston@gmail.com,https://www.facebook.com/TheDealersArms,https://twitter.com/thedealersarms,Punch Taverns Limited,,Emailed,,NA,,Liverpool,England,,,,,53.354789,-2.90126,,09:00:00,00:00:00,09:00:00,00:00:00,,,SUN/10:00/23:30,,,Y,BOTH,https://www.instagram.com/thedealersarms2016/,Public House,Gigs and Clubs,,,,,,,,NA,,
27,District ,Medvenue,yes,61 Jordan Street,Liverpool,L10BE,NA,07817 302677,info@districtliverpool.uk,https://www.facebook.com/DistrictLPool/,https://twitter.com/districtlpool?lang=en,Jayne Casey ,Eric Gooden,eric@districtliverpool.com,7817302677,NA,,Liverpool ,England,,,,34349,53.39522,-2.98123,,14:00:00,22:00:00,16:00:00,22:00:00,,,Closed MON/TUE/WED/THU; SAT/14:00/22:00,,300,N,,https://www.instagram.com/districtlpool/,Public House,Gigs and clubs,,1,1,,1,,,2016,,CC14/CC15/HD2/EC6
28,Dockleaf,"bar, pub with music",no,"Cains Brewery Village, Stanhope Street",Liverpool,L85XJ,https://www.dockleafbar.co.uk/,07936 306625,info@dockleafbar.co.uk,https://www.facebook.com/BarDockleaf/,NA,WEST HIBERNIA HOLDINGS LIMITED,,,,NA,,Liverpool,England,,,,,53.3934,-2.97786,,16:00:00,23:00:00,12:00:00,00:00:00,,,Closed MON/TUE; SAT/11:00/01:00; SUN/11:00/00:00,,,Y,SA,https://www.instagram.com/dockleafbar/,Public House,Gigs and Clubs,,,,,,,,2017,,CC14/CC15/EC6
29,Dorothy's Showbar,smallclub,no,7 Victoria Street,Liverpool,L25QA,http://www.omgclubs.com/venues/dorothys-liverpool,NA,liverpool@dorothysshowbar.com,https://www.facebook.com/Dorothysshowbar/,NA,Impact Hospitality Services Limited,,Emailed,,NA,,Liverpool,England,,,,,53.4068,-2.98841,,22:00:00,04:00:00,22:00:00,04:00:00,,,Closed MON/TUE/WED/SUN,,,N,,https://www.instagram.com/dorothysshowbarliverpool/,Public House,Gigs and Clubs,,1,,,,,,2019,,HD1/HD2/CC1/EC5
30,Dr Duncans,"bar, pub with music",no,"St. Johns Lane, Queen Square",Liverpool,L11HF,https://www.doctorduncansliverpool.com/,0151 709 5100,drduncans@mhalg.com,https://www.facebook.com/DoctorDuncansLiverpool/,https://twitter.com/Doctor_Duncans,Andrew Mikhail,,emailed,,NA,,Liverpool,England,,,,,53.40831,-2.982205,,11:00:00,23:00:00,11:00:00,00:00:00,,,,,100,N,,https://www.instagram.com/drduncansliverpool/,Public House,Gigs and Clubs,,,,,,,,1901,,EC6/CC18
31,EBGBS,smallvenue,yes,Basement 80-82 Seel Street,Liverpool,L14BH,https://www.ebgbs.co.uk/,0151 709 3678,bookings@heebiejeebies.biz,https://www.facebook.com/ebgbsliverpool/,https://twitter.com/ebgbsliverpool,Heebie Jeebies Ltd,Graham Stanley,g.stanley@heebiejeebies.biz,7403102105,NA,,Liverpool,England,,C,,3438484,53.40163,-2.97835,,19:00:00,02:00:00,19:00:00,04:00:00,,,,,300,Y,TA,https://www.instagram.com/ebgbsliverpool/,Nightclub,Gigs and clubs,,1,,,1,,,2016,,HD1/CC15/EC6
32,Einstein Beer Haus,"bar, pub with music",no,"Concert Square, 26 Fleet Street",Liverpool,L14AN,https://www.einsteinbierhaus.co.uk/,0151 351 6705,info@einsteinbierhaus.co.uk,https://www.facebook.com/einsteinbierhaus/,https://twitter.com/Einstein_Bier,Pub Invest Group Ltd.,Chelcee Buchanan ,chelcee.buchanan@jsmbars.co.uk,NA,https://www.einsteinbierhaus.co.uk/contact/,,Liverpool,England,,C,,,53.40314,-2.9805,,15:00:00,03:00:00,12:00:00,04:00:00,,,SUN/12:00/03:00,,1200,Y,TA,https://www.instagram.com/einsteinbierhaus/,Factory/ Office,Gigs and Clubs,,,,,,,,2018,,EC6/CC15/HD1
33,Electrik Warehouse,largeclub,yes,16 Wood Street,Liverpool,L14AQ,https://www.electrikliverpool.co.uk,0151 351 6704,info@electrikliverpool.co.uk,https://www.facebook.com/electrikclubliverpool,https://twitter.com/electrikclub,Pub Invest Group,Elliot John,elliot.john@jsmbars.co.uk,NA,https://www.electrikliverpool.co.uk/contact/,,Liverpool,England,Formerly the Krazyhouse,,,,53.40374,-2.98139,,22:00:00,04:00:00,22:00:00,04:00:00,,,Closed MON/TUE/WED/SUN,,,N,,https://www.instagram.com/electrikclub/,Nightclub,Gigs and Clubs,,1,,,,,,2018,,EC6/CC15/HD1
34,Erics,"bar, pub with music",yes,9 Mathew Street,Liverpool,L26RE,https://erics-live.co.uk/,0151 351 6702,enquiries@ericslive.com,https://www.facebook.com/EricsLiverpool/,https://twitter.com/EricsLiveMusic,Pub Invest Group,Jimmy ,jimmy@jsmbars.co.uk,NA,https://erics-live.co.uk/contact/,,Liverpool,England,,C,,44424,53.40641,-2.9875,,21:00:00,02:00:00,18:00:00,03:00:00,,,SAT/14:00/03:00; SUN/18:00/02:00,,200,Y,SA,https://www.instagram.com/ericslivemusic/,Public House,Gigs and clubs,,1,,,,,,1976,,CC7/CC8/CC9/HD1/HD2/SP1/SP3/
35,Flanagan's Apple,"bar, pub with music",no,18 Mathew Street,Liverpool,L26RE,https://www.flanagansappleliverpool.co.uk/,0151 227 3345,bun148083@mbplc.com,https://www.facebook.com/flanagans.apple/,https://twitter.com/flanagans_apple,Mitchells & Butlers,,,,https://enquiry.guestfeedback.co.uk/148083enquiry,,Liverpool,England,,,,4140834,53.4063,-2.98696,,12:00:00,23:00:00,12:00:00,02:00:00,,,THU/12:00/00:00; SAT/10:00/02:00; SUN/10:00/00:00,,100,N,,https://www.instagram.com/explore/locations/5704219/united-kingdom/liverpool/flanagans-apple/,Public House,Gigs and Clubs,1,,,,,,,NA,,CC7/CC8/CC9/HD1/HD2/SP1/SP3/
36,Floral Pavilion Theatre,theatre,no,Marine Promenade,Wallasey,CH452JS,https://www.floralpavilion.com/,0151 666 0000,floralpaviliontheatre@wirral.gov.uk ,https://www.facebook.com/floral.pavilion/,https://twitter.com/FloralPavilion,,Marie Kenny ,mariekenny@wirral.gov.uk,7385414707,NA,,New Brighton,England,,C,,1871098,53.44019,-3.03907,,10:00:00,16:00:00,10:00:00,17:00:00,,,,,814,N,,https://www.instagram.com/floralpavilion/,Theatre,Major Live Events,,1,,,,,,1913,,
37,Fox and Goose,"bar, pub with music",no,8 Cable Street,Southport,PR90DF,https://foxngoose.uk/,01704 828758,foxsouthport@gmail.com,https://www.facebook.com/Foxsouthport2021/,https://twitter.com/thefoxandgoose,Hasan Akdeniz,,Emailed,,https://foxngoose.uk/,,Southport,England,,C,,49473,53.649131,-3.006001,,16:00:00,00:00:00,16:00:00,04:00:00,,,TUE/16:00/02:00; THU/16:00/02:00; SUN/16:00/02:00,,150,Y,TA,,Public House,Gigs and Clubs,,,,,,,,1868,,
38,Frederiks,"bar, pub with music",no,32 Hope Street,Liverpool,L19BX,http://frederikshopestreet.com/,?0151 708 9574,events@frederikshopestreet.com,https://www.facebook.com/fredshopest,https://twitter.com/FrederiksHopeSt,Elaine Clarke,Adam Macevatt,adammcevatt@frederikshopestreet.com,NA,NA,,Liverpool,England,,C,,2939543,53.40194,-2.97041,,16:00:00,01:00:00,12:00:00,02:01:00,,,Closed MON; WED/16:00/00:00; SAT/11:00/02:00; SUN/12:00/00:00,,120,Y,SA,https://www.instagram.com/fredshopest/,Public House,Gigs and clubs,,,1,,,,,2013,,EC6/HD1/HD2/CC16
39,Fulwood Arms,"bar, pub with music",no,308 Aigburth Road,Liverpool,L179PW,NA,0151 728 9038,fulwoodarms@hotmail.co.uk,https://www.facebook.com/fulwood.arms/,https://twitter.com/TheFulwoodArms,Declan Gerard Donaghy,,emailed,,NA,,Liverpool,England,,C,,,53.37463,-2.93832,,16:00:00,00:00:00,12:00:00,00:00:00,,,MON/16:00/23:00; WED/16:00/23:00,,100,Y,SA,https://www.instagram.com/fulwoodarms/,Public House,Gigs and Clubs,1,,,,,,,2007,,
40,FutureYard CIC,medvenue,yes,75 Argyle Street,Birkenhead,CH416AB,https://futureyard.org/,NA,enquiries@futureyard.org,https://www.facebook.com/FutureYard/,https://twitter.com/future_yard,Futureyard,Craig Pennington,craig@futureyard.org,07968 826 080,NA, ,Wirral,England,,C,,,53.39134,-3.01871,,10:00:00,23:00:00,10:00:00,00:00:00,,,,,300,Y,TA,https://www.instagram.com/future_yard/,Live Music Venue,Gigs and clubs,1,1,1,1,1,,,2020,,
41,Gallaghers Traditional Pub,"bar, pub with music",no,20 Chester Street,Birkenhead,CH415DQ,https://www.gallagherswirral.com/traditional-pub,0151 649 9095,NA,https://www.facebook.com/Gallagherstraditionalpub1/,https://twitter.com/gallaghers_pub,,,,,https://www.gallagherswirral.com/traditional-pub,NA,Birkenhead,England,,C,,,53.39381,-3.0125577,,12:00:00,23:00:00,11:30:00,00:00:00,,,SUN/11:30/00:00,,200,Y,TA,https://www.instagram.com/gallagherswirral/,Public House,Gigs and Clubs,,,,,,,,2010,,
42,Gallaghers at Wirral Golf Club,"bar, pub with music",no,93 Bidston Road,Birkenhead,CH436TS,https://www.gallagherswirral.com/,0151 245 2581,gallaghers.wirral@hotmail.com,https://www.facebook.com/gallaghersatwirralgolfclub/,NA,,,,,https://www.gallagherswirral.com/,,Birkenhead,England,,C,,,53.39143,-3.06305,,12:00:00,22:00:00,11:30:00,00:00:00,,,SUN/11:30/00:00,,120,Y,TA,https://www.instagram.com/gallagherswirral/,Public House,Gigs and Clubs,,,,,,,,2010,,
43,Gerard Arms,"bar, pub with music",no,Dentons Green Lane,St Helens,WA106SD,https://www.greeneking-pubs.co.uk/pubs/merseyside/gerard-arms/,01744 28894,6979@greeneking.co.uk,https://www.facebook.com/thegerardarms/,https://twitter.com/TheGerardArms,Greene King Pubs,,,,https://www.greeneking-pubs.co.uk/pubs/merseyside/gerard-arms/dish-highlights/,,St Helens,England,,,,,53.4623,-2.75845,,12:00:00,23:30:00,12:00:00,00:00:00,,,,,,Y,BOTH,https://www.instagram.com/thegerardarms/,Public House,Gigs and Clubs,,,,,,,,,,
44,Grand Central Hall,Largevenue,yes,35 Renshaw Street,Liverpool,L12SF,https://grandcentralhall.com/,07425 452 167,info@grandcentralhall.com,https://www.facebook.com/LiverpoolGrandCentralhall/,https://twitter.com/GrandCentralHal,NA,Halyhey Smitton,Emailed,,https://grandcentralhall.com/contact.html, ,Liverpool,England,,,,,53.40407,-2.9767,,,,,,,,,,1300,N,,https://www.instagram.com/liverpoolgrandcentralhall/,Shop,Gigs and clubs,,1,,,,,,1905,,EC6/CC3
45,Halfway House,"bar, pub with music",no,293 Woodchurch Road,Birkenhead,CH429QE,https://www.greatukpubs.co.uk/thehalfwayhousebirkenhead,0151 608 6201,halfwayhouse.prenton@stonegatepubs.com,https://www.facebook.com/HalfwayHouse.Birkenhead/,NA,Stonegate Group,,,,NA,,Prenton,England,,,,,53.37404,-3.0419,,12:00:00,00:00:00,11:00:00,01:00:00,,,SUN/11:00/00:00,,225,Y,TA,,Public House,Gigs and Clubs,,,,,,,,1878,,
46,Handyman Supermarket,"bar, pub with music",no,461 Smithdown Road,Liverpool,L153JL,https://www.handymansupermarket.co.uk/,0151 733 3048,kev@handymansupermarket.co.uk,https://www.facebook.com/handymansupermarket/,https://twitter.com/handymanSmarket,EMPORIUM COLLECTIVE LTD,Kevin McArthur ,kev@handymansupermarket.co.uk,7540081862,NA,,Liverpool ,England,"Capacity is for the stage at the back, not the pub",C,,3851274,53.39,-2.92836,,12:00:00,23:30:00,12:00:00,23:30:00,,,,,150,N,,https://www.instagram.com/handymanbrewery/,,Gigs and Clubs,,,1,,,,,2017,,
47,Hangar 34,largeclub,yes,34 Greenland Street,Liverpool,L10BS,https://www.hangar34liverpool.co.uk/,07766 945435,info@hangar34liverpool.co.uk,https://www.facebook.com/Hangar34liverpool/,https://twitter.com/TheHangar34,Connection Leisure Limited,Stephen White,stephen@hangar34liverpool.co.uk,7540268187,https://hangar34liverpool.co.uk/find-us/, ,Liverpool,England,,,,3431184,53.39512,-2.9789,,,,,,,,,,800,N,,https://www.instagram.com/hangar34liverpool/,Unknown,Gigs and clubs,,1,,,1,,,2016,,EC6/HD2/CC14/CC15
48,Harrisons ,"bar, pub with music",no,23 North John Street,Liverpool,L25QU,https://www.harrisonsbarliverpool.co.uk/,?0151 236 2576,info@harrisonsbarliverpool.co.uk,https://www.facebook.com/harrisonsliverpool,NA,Sams Liverpool Ltd,Kerry Holder,Emailed,,https://harrisonsbarliverpool.co.uk/,,Liverpool,England,"Live music only on Friday, Saturday and Sunday evenings",C,,,53.40662,-2.98869,,11:00:00,23:00:00,10:00:00,02:00:00,,,FRI/11:00/02:00; SUN/10:00/00:00,,120,N,,https://www.instagram.com/harrisonsliverpool/,,Gigs and clubs,,,,,,,,2019,,CC1/EC5/HD1/HD2
